IId sex Anho Population d_fibra p_vellongras peso_vivo
merino14682 M 2020 Espinar 21.2 0 45.9
merino14683 F 2020 Espinar 20.1 0.46 46.7
merino14684 M 2020 Espinar 21.1 0 45.2
merino14685 F 2020 Espinar 18.7 0 43.8
merino14686 M 2020 Espinar 21.6 3.66 0
merino14687 F 2020 Espinar 19.6 2.56 44.3
merino14688 M 2020 Espinar 20.2 0 45.4
merino14689 F 2020 Espinar 20.1 0 0
merino14690 M 2020 Espinar 20.5 0 44.3
merino14691 F 2020 Espinar 22.3 1.06 46.8
merino14692 M 2020 Espinar 20.2 3.76 47.2
merino14693 F 2020 Espinar 20.1 1.06 45.4
merino14694 M 2020 Espinar 19.9 1.06 44.6
merino14695 F 2020 Espinar 18.9 2.16 44.2
merino14696 M 2020 Espinar 20.9 2.16 45.7
merino14697 F 2020 Espinar 22 1.16 44.6
merino14698 M 2020 Espinar 20.4 2.66 43.6
merino14699 F 2020 Espinar 22 0 43.5
merino14700 M 2020 Espinar 21.8 0 45.7
merino14701 F 2020 Espinar 21 0.16 45.1
merino14702 M 2020 Espinar 19.3 1.76 45
merino14703 F 2020 Espinar 0 2.56 0
merino14704 M 2020 Espinar 22.1 2.16 45.8
merino14705 F 2020 Espinar 20.5 0 0
merino14706 M 2020 Espinar 18.7 0 43.1
merino14707 F 2020 Espinar 21.5 1.06 46.8
merino14708 M 2020 Espinar 0 2.86 45.3
merino14709 F 2020 Espinar 20.8 0.66 45
merino14710 M 2020 Espinar 20.5 2.36 46
merino14711 F 2020 Espinar 21.9 1.16 45.8
merino14712 M 2020 Espinar 18.7 1.46 44.7
merino14713 F 2020 Espinar 20.1 0.46 45.2
merino14714 M 2020 Espinar 20.4 0 44
merino14715 F 2020 Espinar 20.9 4.06 0
merino14716 M 2020 Espinar 20.6 1.76 47.8
merino14717 F 2020 Espinar 22.5 0.56 44.6
merino14718 M 2020 Espinar 21.5 1.36 47.3
merino14719 F 2020 Espinar 20.7 0.46 0
merino14720 M 2020 Espinar 22.4 0 44
merino14721 F 2020 Espinar 22.4 1.76 44.5
merino14722 M 2020 Espinar 19 1.06 0
merino14723 F 2020 Espinar 19.2 0 44
merino14724 M 2020 Espinar 19.9 0 44.5
merino14725 F 2020 Espinar 21.3 1.76 43.4
merino14726 M 2020 Espinar 22.3 1.66 44.3
merino14727 F 2020 Espinar 0 1.56 44.3
merino14728 M 2020 Espinar 21 0.16 46.5
merino14729 F 2020 Espinar 20.8 0 45.5
merino14730 M 2020 Espinar 21.4 1.96 46.7
merino14731 F 2020 Espinar 20.7 2.36 45.9
merino14732 M 2020 Espinar 20.7 5.56 45.6
merino14733 F 2020 Espinar 20.1 2.76 45.3
merino14734 M 2020 Espinar 21.3 3.96 44.9
merino14735 F 2020 Espinar 22.3 0.36 45.5
merino14736 M 2020 Espinar 20.2 2.96 0
merino14737 F 2020 Espinar 18.6 1.76 0
merino14738 M 2020 Espinar 0 3.16 48.3
merino14739 F 2020 Espinar 19.8 1.36 45
merino14740 M 2020 Espinar 20.4 0.06 43.5
merino14741 F 2020 Espinar 21.9 0 0
merino14742 M 2020 Espinar 20.7 1.26 43.3
merino14743 F 2020 Espinar 21.5 0 46.1
merino14744 M 2020 Espinar 0 3.56 46.2
merino14745 F 2020 Espinar 20 0.56 44.7
merino14746 M 2020 Espinar 20.3 0.26 46.3
merino14747 F 2020 Espinar 19.3 0.86 45.9
merino14748 M 2020 Espinar 21.4 2.46 44.7
merino14749 F 2020 Espinar 20.1 0 0
merino14750 M 2020 Espinar 18.9 3.96 0
merino14751 F 2020 Espinar 20.7 0.16 45
merino14752 M 2020 Espinar 20.2 0 45.7
merino14753 F 2020 Espinar 19.3 0.66 43.9
merino14754 M 2020 Espinar 20.6 0 43.6
merino14755 F 2020 Espinar 22.6 0.36 0
merino14756 M 2020 Espinar 20.8 0.46 0
merino14757 F 2020 Espinar 20.6 0 43.9
merino14758 M 2020 Espinar 19.5 0 45.4
merino14759 F 2020 Espinar 20.4 1.06 45.6
merino14760 M 2020 Espinar 0 1.26 0
merino14761 F 2020 Espinar 21.2 1.06 45.8
merino14762 M 2020 Espinar 20.4 3.76 0
merino14763 F 2020 Espinar 21.5 3.06 44.4
merino14764 M 2020 Espinar 21.6 0 46.1
merino14765 F 2020 Espinar 21.9 1.96 46
merino14766 M 2020 Espinar 21.1 0 44.9
merino14767 F 2020 Espinar 0 0 45.8
merino14768 M 2020 Espinar 20.5 1.66 46.1
merino14769 F 2020 Espinar 21.2 2.26 45.6
merino14770 M 2020 Espinar 21.6 0 46.5
merino14771 F 2020 Espinar 20.3 1.36 45.9
merino14772 M 2020 Espinar 21.1 1.66 46.5
merino14773 F 2020 Espinar 20.6 4.16 47.3
merino14774 M 2020 Espinar 21.6 0.66 45.3
merino14775 F 2020 Espinar 19.2 1.86 44.4
merino14776 M 2020 Espinar 19.5 0 45.8
merino14777 F 2020 Espinar 22.5 1.06 47.5
merino14778 M 2020 Espinar 21.5 0.66 44.4
merino14779 F 2020 Espinar 20.1 0 45.3
merino14780 M 2020 Espinar 20.2 3.56 45.9
merino14781 F 2020 Espinar 21.5 0.66 46.3
merino14782 M 2020 Espinar 20.7 2.56 43.7
merino14783 F 2020 Espinar 20.3 0 44.8
merino14784 M 2020 Espinar 21.1 0 45.8
merino14785 F 2020 Espinar 20.4 0 47.1
merino14786 M 2020 Espinar 19.4 0.76 44
merino14787 F 2020 Espinar 0 2.26 44.3
merino14788 M 2020 Espinar 19.9 0.16 44.2
merino14789 F 2020 Espinar 20.4 2.86 0
merino14790 M 2020 Espinar 21.6 2.96 0
merino14791 F 2020 Espinar 22.2 0 0
merino14792 M 2020 Espinar 20.8 1.36 45.2
merino14793 F 2020 Espinar 21.9 0.86 45.1
merino14794 M 2020 Espinar 22 1.86 43.7
merino14795 F 2020 Espinar 19.9 0 44.2
merino14796 M 2020 Espinar 21.4 3.16 44.6
merino14797 F 2020 Espinar 21.3 2.36 44.9
merino14798 M 2020 Espinar 21.9 0 0
merino14799 F 2020 Espinar 21.2 0 44.2
merino14800 M 2020 Espinar 20.1 0 0
merino14801 F 2020 Espinar 20.7 2.96 0
merino14802 M 2020 Espinar 20.2 3.46 45.8
merino14803 F 2020 Espinar 21.6 0 43.3
merino14804 M 2020 Espinar 20.1 0 44.9
merino14805 F 2020 Espinar 20.6 0 46.1
merino14806 M 2020 Espinar 20.2 1.96 45.9
merino14807 F 2020 Espinar 19.7 3.36 44.1
merino14808 M 2020 Espinar 20.6 2.16 0
merino14809 F 2020 Espinar 0 2.56 46.3
merino14810 M 2020 Espinar 21.9 2.16 45.4
merino14811 F 2020 Espinar 21.8 1.76 46.8
merino14812 M 2020 Espinar 18.5 0 42.7
merino14813 F 2020 Espinar 0 0 45.4
merino14814 M 2020 Espinar 21.5 0 46
merino14815 F 2020 Espinar 20.4 1.56 0
merino14816 M 2020 Espinar 21.3 0 46.1
merino14817 F 2020 Espinar 19.3 3.36 46
merino14818 M 2020 Espinar 20.8 2.06 45.2
merino14819 F 2020 Espinar 0 0.66 45.9
merino14820 M 2020 Espinar 20.6 0 46.1
merino14821 F 2020 Espinar 20 1.26 45.1
merino14822 M 2020 Espinar 22.1 1.36 46.3
merino14823 F 2020 Espinar 21.7 0 45.6
merino14824 M 2020 Espinar 21.6 0 0
merino14825 F 2020 Espinar 20.9 0.66 45.9
merino14826 M 2020 Espinar 20.8 0 45.7
merino14827 F 2020 Espinar 17.9 3.16 46.7
merino14828 M 2020 Espinar 22.3 0.16 44
merino14829 F 2020 Espinar 23.8 0 43.8
merino14830 M 2020 Espinar 20.1 1.26 45.1
merino14831 F 2020 Espinar 20.5 2.56 46.3
merino14832 M 2020 Espinar 21.9 4.76 46.9
merino14833 F 2020 Espinar 19.6 3.86 46.3
merino14834 M 2020 Espinar 20.8 0 46.6
merino14835 F 2020 Espinar 21.5 2.36 47.8
merino14836 M 2020 Espinar 21.1 1.36 0
merino14837 F 2020 Espinar 21.5 1.26 44
merino14838 M 2020 Espinar 19.8 1.66 43
merino14839 F 2020 Espinar 19.6 2.36 47
merino14840 M 2020 Espinar 19 1.36 45.7
merino14841 F 2020 Espinar 20.5 3.16 46.4
merino14842 M 2020 Espinar 19.5 2.46 45.4
merino14843 F 2020 Espinar 19.4 2.96 45.7
merino14844 M 2020 Espinar 21.3 0 0
merino14845 F 2020 Espinar 23.1 0 47.8
merino14846 M 2020 Espinar 21.6 3.76 44.6
merino14847 F 2020 Espinar 19.9 1.86 45.8
merino14848 M 2020 Espinar 19.8 1.26 0
merino14849 F 2020 Espinar 21.1 1.76 45.7
merino14850 M 2020 Espinar 20.2 3.16 46.1
merino14851 F 2020 Espinar 20 2.66 46.7
merino14852 M 2020 Espinar 21.5 0 45.7
merino14853 F 2020 Espinar 0 2.26 45.6
merino14854 M 2020 Espinar 20.1 0 44
merino14855 F 2020 Espinar 0 0 0
merino14856 M 2020 Espinar 20.7 3.16 46.6
merino14857 F 2020 Espinar 19.6 1.36 44.4
merino14858 M 2020 Espinar 20.9 0 43.8
merino14859 F 2020 Espinar 22.3 0.86 45
merino14860 M 2020 Espinar 20.4 2.46 45.5
merino14861 F 2020 Espinar 19.4 1.36 45.3
merino14862 M 2020 Espinar 21.3 0 0
merino14863 F 2020 Espinar 19.5 0.06 46.2
merino14864 M 2020 Espinar 0 2.26 44.6
merino14865 F 2020 Espinar 21.4 0 45.2
merino14866 M 2020 Espinar 21.3 1.96 45.7
merino14867 F 2020 Espinar 20.1 0.56 0
merino14868 M 2020 Espinar 21 2.66 46.7
merino14869 F 2020 Espinar 19.8 3.36 45.8
merino14870 M 2020 Espinar 19.3 2.66 43.6
merino14871 F 2020 Espinar 0 0 45.3
merino14872 M 2020 Espinar 19.6 3.76 45.7
merino14873 F 2020 Espinar 21 5.66 0
merino14874 M 2020 Espinar 20.7 0 47.2
merino14875 F 2020 Espinar 22.1 0.76 45.2
merino14876 M 2020 Espinar 21.3 0.86 45.9
merino14877 F 2020 Espinar 20.7 0.26 45.8
merino14878 M 2020 Espinar 21.4 0 0
merino14879 F 2020 Espinar 0 2.66 46.5
merino14880 M 2020 Espinar 20.1 0.86 0
merino14881 F 2020 Espinar 19.8 1.26 45.6
merino14882 M 2020 Espinar 19.2 1.06 45.5
merino14883 F 2020 Espinar 21.9 3.56 46.3
merino14884 M 2020 Espinar 20.7 2.36 44.7
merino14885 F 2020 Espinar 20.2 0 46.7
merino14886 M 2020 Espinar 19.6 0 45
merino14887 F 2020 Espinar 21.5 0.76 43.3
merino14888 M 2020 Espinar 20.4 0 46.1
merino14889 F 2020 Espinar 18.5 0 45.6
merino14890 M 2020 Espinar 22.3 1.66 46.1
merino14891 F 2020 Espinar 22.2 2.86 45.3
merino14892 M 2020 Espinar 21.1 0 45
merino14893 F 2020 Espinar 21.1 3.76 0
merino14894 M 2020 Espinar 20.5 1.46 0
merino14895 F 2020 Espinar 19.9 0 44.5
merino14896 M 2020 Espinar 20.4 0.26 46.7
merino14897 F 2020 Espinar 19.7 0 43.9
merino14898 M 2020 Espinar 20.4 0 44.1
merino14899 F 2020 Espinar 21.5 2.26 0
merino14900 M 2020 Espinar 22.2 3.36 46.2
merino14901 F 2020 Espinar 21.9 4.26 45.6
merino14902 M 2020 Espinar 21.1 4.16 44
merino14903 F 2020 Espinar 21 0 43.1
merino14904 M 2020 Espinar 22 0.66 44.9
merino14905 F 2020 Espinar 19 1.06 46.2
merino14906 M 2020 Espinar 21.5 0 0
merino14907 F 2020 Espinar 0 1.86 45.4
merino14908 M 2020 Espinar 20.8 0 0
merino14909 F 2020 Espinar 20.8 1.46 44.4
merino14910 M 2020 Espinar 0 4.26 0
merino14911 F 2020 Espinar 21.8 1.36 0
merino14912 M 2020 Espinar 21.1 0.46 46.2
merino14913 F 2020 Espinar 20.9 0 44.9
merino14914 M 2020 Espinar 0 2.66 44.8
merino14915 F 2020 Espinar 0 0.76 46.1
merino14916 M 2020 Espinar 18.9 0.26 0
merino14917 F 2020 Espinar 20.1 2.66 46.4
merino14918 M 2020 Espinar 21 3.06 46.9
merino14919 F 2020 Espinar 20.6 3.06 0
merino14920 M 2020 Espinar 19.5 0.86 0
merino14921 F 2020 Espinar 20.2 4.46 0
merino14922 M 2020 Espinar 19.1 2.56 45.7
merino14923 F 2020 Espinar 19.9 0.56 45.1
merino14924 M 2020 Espinar 20.8 2.66 45.2
merino14925 F 2020 Espinar 19.2 3.06 45.4
merino14926 M 2020 Espinar 20.8 3.96 44.7
merino14927 F 2020 Espinar 0 2.26 46.5
merino14928 M 2020 Espinar 20.2 1.06 0
merino14929 F 2020 Espinar 0 2.96 45.4
merino14930 M 2020 Espinar 20.7 4.26 44.9
merino14931 F 2020 Espinar 21.7 0.96 45.5
merino14932 M 2020 Espinar 21.4 1.36 46.5
merino14933 F 2020 Espinar 19.8 0.16 44.2
merino14934 M 2020 Espinar 21.3 1.36 45.8
merino14935 F 2020 Espinar 21.4 2.96 46.7
merino14936 M 2020 Espinar 21.8 0.76 0
merino14937 F 2020 Espinar 19.7 0 0
merino14938 M 2020 Espinar 19.6 1.36 0
merino14939 F 2020 Espinar 0 0.96 47
merino14940 M 2020 Espinar 21.8 0 43.9
merino14941 F 2020 Espinar 20.1 0 45.2
merino14942 M 2020 Espinar 21.1 0.26 45
merino14943 F 2020 Espinar 20.3 4.16 44.2
merino14944 M 2020 Espinar 21.8 0.66 43.9
merino14945 F 2020 Espinar 19.2 1.46 0
merino14946 M 2020 Espinar 19.9 0.96 43.8
merino14947 F 2020 Espinar 20.6 2.56 42.7
merino14948 M 2020 Espinar 19.4 3.76 44.3
merino14949 F 2020 Espinar 21.9 2.56 44.8
merino14950 M 2020 Espinar 20.4 2.06 45.5
merino14951 F 2020 Espinar 22.4 0 45.1
merino14952 M 2020 Espinar 21.3 2.86 45.3
merino14953 F 2020 Espinar 20.6 1.96 47
merino14954 M 2020 Espinar 19.9 0 43.6
merino14955 F 2020 Espinar 22.8 0 42.9
merino14956 M 2020 Espinar 18.8 0.56 44.8
merino14957 F 2020 Espinar 18.7 0.46 0
merino14958 M 2020 Espinar 22.3 1.76 0
merino14959 F 2020 Espinar 21.9 0 45.5
merino14960 M 2020 Espinar 20.6 0 43.7
merino14961 F 2020 Espinar 0 0 45
merino14962 M 2020 Espinar 21 0 44.7
merino14963 F 2020 Espinar 21.4 0 44.5
merino14964 M 2020 Espinar 20.5 2.96 0
merino14965 F 2020 Espinar 19.6 2.36 0
merino14966 M 2020 Espinar 0 1.46 44.6
merino14967 F 2020 Espinar 19.3 3.46 45.8
merino14968 M 2020 Espinar 0 0 45.6
merino14969 F 2020 Espinar 20.2 0 46.9
merino14970 M 2020 Espinar 21.6 0.26 44.9
merino14971 F 2020 Espinar 20.1 0 45.9
merino14972 M 2020 Espinar 20.8 0 44.2
merino14973 F 2020 Espinar 20.8 2.36 0
merino14974 M 2020 Espinar 20.9 4.06 46.4
merino14975 F 2020 Espinar 22 0 44
merino14976 M 2020 Espinar 20.2 0 47.1
merino14977 F 2020 Espinar 21.5 1.16 44
merino14978 M 2020 Espinar 22.2 0 43.3
merino14979 F 2020 Espinar 0 2.76 45.2
merino14980 M 2020 Espinar 20.5 2.86 45.8
merino14981 F 2020 Espinar 20 1.66 0
merino14982 M 2020 Espinar 20.4 2.16 44.6
merino14983 F 2020 Espinar 20.8 0.56 46.8
merino14984 M 2020 Espinar 20.3 0.06 47.5
merino14985 F 2020 Espinar 20.7 4.46 45.5
merino14986 M 2020 Espinar 20.3 0 45.2
merino14987 F 2020 Espinar 20.7 0 0
merino14988 M 2020 Espinar 19.4 0 44.2
merino14989 F 2020 Espinar 19.5 1.76 45.3
merino14990 M 2020 Espinar 19.9 1.76 45.3
merino14991 F 2020 Espinar 20.7 3.36 42.8
merino14992 M 2020 Espinar 20.7 0 45.6
merino14993 F 2020 Espinar 20.4 3.06 45
merino14994 M 2020 Espinar 19.3 0 46.3
merino14995 F 2020 Espinar 22.5 1.76 45.8
merino14996 M 2020 Espinar 21.8 3.46 0
merino14997 F 2020 Espinar 21.6 2.16 45.5
merino14998 M 2020 Espinar 21.8 0 40.8
merino14999 F 2020 Espinar 20.7 2.26 0
merino15000 M 2020 Espinar 0 1.86 45.4
merino15001 F 2020 Espinar 21.9 2.36 47.4
merino15002 M 2020 Espinar 0 4.36 46.6
merino15003 F 2020 Espinar 20.9 2.86 45.2
merino15004 M 2020 Espinar 20.2 0 43.8
merino15005 F 2020 Espinar 21 0 45.7
merino15006 M 2020 Espinar 20.8 1.46 43.1
merino15007 F 2020 Espinar 21.2 3.46 45
merino15008 M 2020 Espinar 21.2 0.26 45.3
merino15009 F 2020 Espinar 21.2 3.36 46.8
merino15010 M 2020 Espinar 20.7 2.06 47.1
merino15011 F 2020 Espinar 20.5 0.06 46.6
merino15012 M 2020 Espinar 22.1 1.66 0
merino15013 F 2020 Espinar 19.8 1.56 0
merino15014 M 2020 Espinar 19.2 2.16 44.2
merino15015 F 2020 Espinar 18.9 0 43.8
merino15016 M 2020 Espinar 21.7 1.26 45.1
merino15017 F 2020 Espinar 21.5 3.56 48.4
merino15018 M 2020 Espinar 20.2 4.16 46.2
merino15019 F 2020 Espinar 20 5.86 45.5
merino15020 M 2020 Espinar 18.8 1.86 43.6
merino15021 F 2020 Espinar 20.2 0 45.5
merino15022 M 2020 Espinar 20.4 3.86 0
merino15023 F 2020 Espinar 20.9 1.76 0
merino15024 M 2020 Espinar 21 1.06 45.2
merino15025 F 2020 Espinar 22.2 2.56 44.2
merino15026 M 2020 Espinar 20 1.86 45.4
merino15027 F 2020 Espinar 19.5 0 45.3
merino15028 M 2020 Espinar 19.3 0 45
merino15029 F 2020 Espinar 21.1 0.96 43.2
merino15030 M 2020 Espinar 0 0.76 45.5
merino15031 F 2020 Espinar 20.6 4.36 46
merino15032 M 2020 Espinar 19.3 4.26 47.2
merino15033 F 2020 Espinar 19.9 0 47.6
merino15034 M 2020 Espinar 21 0.16 45.3
merino15035 F 2020 Espinar 21.9 4.76 0
merino15036 M 2020 Azangaro 19.6 1.96 44.6
merino15037 F 2020 Azangaro 18.3 0 44.1
merino15038 M 2020 Azangaro 19.7 0 45.3
merino15039 F 2020 Azangaro 19.8 0.26 43.4
merino15040 M 2020 Azangaro 20.5 0 44.4
merino15041 F 2020 Azangaro 19.3 0 47
merino15042 M 2020 Azangaro 19.7 0 45.7
merino15043 F 2020 Azangaro 19.6 0 44.1
merino15044 M 2020 Azangaro 20.3 0 43.9
merino15045 F 2020 Azangaro 19.3 3.66 45.8
merino15046 M 2020 Azangaro 19.1 0 43.4
merino15047 F 2020 Azangaro 20.4 0 45.3
merino15048 M 2020 Azangaro 21 1.96 47
merino15049 F 2020 Azangaro 19.9 0 47.4
merino15050 M 2020 Azangaro 0 4.96 44.2
merino15051 F 2020 Azangaro 18.8 3.26 44.6
merino15052 M 2020 Azangaro 19.7 0 44.6
merino15053 F 2020 Azangaro 19 2.56 44.2
merino15054 M 2020 Azangaro 20.5 2.76 45.2
merino15055 F 2020 Azangaro 19.8 0 43.8
merino15056 M 2020 Azangaro 19.4 0.86 43.1
merino15057 F 2020 Azangaro 20.3 0 42.9
merino15058 M 2020 Azangaro 19.7 4.76 45.4
merino15059 F 2020 Azangaro 18.6 0.06 45.9
merino15060 M 2020 Azangaro 20 0 42.9
merino15061 F 2020 Azangaro 20.5 0 0
merino15062 M 2020 Azangaro 19 2.96 45.4
merino15063 F 2020 Azangaro 19.6 3.76 47
merino15064 M 2020 Azangaro 0 0 0
merino15065 F 2020 Azangaro 18.3 0.66 0
merino15066 M 2020 Azangaro 0 3.36 47
merino15067 F 2020 Azangaro 19.6 0.36 46.2
merino15068 M 2020 Azangaro 19.6 0.96 43.6
merino15069 F 2020 Azangaro 0 0 44.2
merino15070 M 2020 Azangaro 21 2.16 45.2
merino15071 F 2020 Azangaro 20.3 0 45.9
merino15072 M 2020 Azangaro 19.8 0.36 44.6
merino15073 F 2020 Azangaro 21.1 0.06 44.2
merino15074 M 2020 Azangaro 20.4 1.66 46.3
merino15075 F 2020 Azangaro 19.8 3.56 44.5
merino15076 M 2020 Azangaro 19.3 2.76 0
merino15077 F 2020 Azangaro 19.6 2.66 44.5
merino15078 M 2020 Azangaro 19.9 0.86 45.6
merino15079 F 2020 Azangaro 19.6 3.06 46.4
merino15080 M 2020 Azangaro 20.3 3.46 45.4
merino15081 F 2020 Azangaro 19.2 0.66 44.7
merino15082 M 2020 Azangaro 18.7 0.26 46.8
merino15083 F 2020 Azangaro 18.3 0 0
merino15084 M 2020 Azangaro 20 0.56 0
merino15085 F 2020 Azangaro 20.2 0.16 43.3
merino15086 M 2020 Azangaro 18.7 0.16 44.5
merino15087 F 2020 Azangaro 20.2 0 45.9
merino15088 M 2020 Azangaro 20.2 0 44.4
merino15089 F 2020 Azangaro 19.4 2.46 43.4
merino15090 M 2020 Azangaro 18.6 3.16 45.6
merino15091 F 2020 Azangaro 19.2 2.56 0
merino15092 M 2020 Azangaro 20.2 0 45.6
merino15093 F 2020 Azangaro 19.5 3.36 46.4
merino15094 M 2020 Azangaro 20.1 1.76 44.5
merino15095 F 2020 Azangaro 20.3 0 43.6
merino15096 M 2020 Azangaro 0 0.56 42.8
merino15097 F 2020 Azangaro 18.6 0 43.5
merino15098 M 2020 Azangaro 17.9 0.36 43.9
merino15099 F 2020 Azangaro 20.5 1.26 45.5
merino15100 M 2020 Azangaro 20.7 1.26 0
merino15101 F 2020 Azangaro 19 0.86 0
merino15102 M 2020 Azangaro 19.2 2.06 0
merino15103 F 2020 Azangaro 21.2 3.56 45.4
merino15104 M 2020 Azangaro 21.1 2.56 0
merino15105 F 2020 Azangaro 19.1 3.06 0
merino15106 M 2020 Azangaro 20.1 0.96 43.8
merino15107 F 2020 Azangaro 18.5 0 0
merino15108 M 2020 Azangaro 18.5 0 46.7
merino15109 F 2020 Azangaro 20.5 2.86 46.6
merino15110 M 2020 Azangaro 18.9 2.26 45
merino15111 F 2020 Azangaro 0 0 46
merino15112 M 2020 Azangaro 18.4 0 43.8
merino15113 F 2020 Azangaro 20.1 1.76 44.7
merino15114 M 2020 Azangaro 20.7 3.66 0
merino15115 F 2020 Azangaro 19.4 0 44.9
merino15116 M 2020 Azangaro 19.7 1.36 43.1
merino15117 F 2020 Azangaro 20.3 0 44.9
merino15118 M 2020 Azangaro 21.2 0 44
merino15119 F 2020 Azangaro 20.2 1.56 42.4
merino15120 M 2020 Azangaro 20.8 1.16 43.5
merino15121 F 2020 Azangaro 19.2 4.66 43.9
merino15122 M 2020 Azangaro 20.1 4.46 46.4
merino15123 F 2020 Azangaro 0 2.16 45
merino15124 M 2020 Azangaro 18.1 0 44.9
merino15125 F 2020 Azangaro 18.6 0.16 0
merino15126 M 2020 Azangaro 20.4 1.76 44.4
merino15127 F 2020 Azangaro 20.8 0 45.3
merino15128 M 2020 Azangaro 19.4 1.96 46.8
merino15129 F 2020 Azangaro 20.1 1.96 46.3
merino15130 M 2020 Azangaro 21 0.96 45.1
merino15131 F 2020 Azangaro 20.7 1.06 43.9
merino15132 M 2020 Azangaro 19.5 0.16 41.6
merino15133 F 2020 Azangaro 20.4 1.86 44.6
merino15134 M 2020 Azangaro 20.4 1.16 44.4
merino15135 F 2020 Azangaro 18.5 0.86 43.3
merino15136 M 2020 Azangaro 19.5 0 0
merino15137 F 2020 Azangaro 20.3 3.96 44.6
merino15138 M 2020 Azangaro 18.9 0 0
merino15139 F 2020 Azangaro 20.4 3.06 45.4
merino15140 M 2020 Azangaro 20 3.26 45.2
merino15141 F 2020 Azangaro 19 0 45
merino15142 M 2020 Azangaro 18.8 0 44.1
merino15143 F 2020 Azangaro 20 0.06 0
merino15144 M 2020 Azangaro 20 2.16 43.7
merino15145 F 2020 Azangaro 20.1 2.36 44
merino15146 M 2020 Azangaro 18.7 0.76 0
merino15147 F 2020 Azangaro 20.7 2.56 44
merino15148 M 2020 Azangaro 20 0.36 46.6
merino15149 F 2020 Azangaro 19.1 2.16 45.8
merino15150 M 2020 Azangaro 20.2 3.76 44.6
merino15151 F 2020 Azangaro 20.2 2.16 43.6
merino15152 M 2020 Azangaro 18.2 1.46 45.2
merino15153 F 2020 Azangaro 19.1 3.36 45.7
merino15154 M 2020 Azangaro 20.8 0.46 0
merino15155 F 2020 Azangaro 19.1 0 45.2
merino15156 M 2020 Azangaro 18.7 0 0
merino15157 F 2020 Azangaro 18.6 3.06 0
merino15158 M 2020 Azangaro 19.8 1.46 45.4
merino15159 F 2020 Azangaro 20.2 0.86 44.7
merino15160 M 2020 Azangaro 19.3 2.26 42.8
merino15161 F 2020 Azangaro 19 2.96 43.1
merino15162 M 2020 Azangaro 21.2 2.46 45.5
merino15163 F 2020 Azangaro 19.9 0 0
merino15164 M 2020 Azangaro 19.9 2.96 46.1
merino15165 F 2020 Azangaro 19.9 1.86 0
merino15166 M 2020 Azangaro 20.2 3.06 44.9
merino15167 F 2020 Azangaro 21.5 1.56 45.9
merino15168 M 2020 Azangaro 19.3 0.76 44
merino15169 F 2020 Azangaro 19.2 2.26 0
merino15170 M 2020 Azangaro 20 0 0
merino15171 F 2020 Azangaro 18.2 0 44.8
merino15172 M 2020 Azangaro 19.8 4.46 45.5
merino15173 F 2020 Azangaro 20.3 2.46 46.7
merino15174 M 2020 Azangaro 19.9 1.66 45.7
merino15175 F 2020 Azangaro 19 2.06 47
